Feature	Intercept_mean	host_sample_type[T.tumor]_mean	Intercept_std	host_sample_type[T.tumor]_std	Intercept_hdi	host_sample_type[T.tumor]_hdi
G000005845	-10.297993907	3.94853462615	2.915069735327765	2.8579641094219355	(-15.4155, -4.27086)	(-1.55702, 9.10886)
G000006565	-1.2978542100000028	-0.025786954247995028	0.014141812665846635	0.020898209560370445	(-1.32408, -1.27416)	(-0.0631369, 0.0133569)
G000006765	-11.267646789999992	6.006675355599993	2.3624463866295464	2.4437686167991366	(-16.0584, -6.85733)	(1.23438, 10.6332)
G000006925	-11.480008020000005	4.58258228825	2.3354346055499557	2.411504829535868	(-15.7465, -6.83857)	(-0.366012, 8.8782)
G000008865	-10.898710510759978	3.8541623893499923	3.087286349768462	2.8961463643687826	(-16.1903, -4.09734)	(-1.69759, 9.67883)
G000010125	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000010425	-8.725181223599993	1.8392851603000024	4.237541556895407	3.9037188986296245	(-15.5997, -0.134742)	(-5.56651, 9.14959)
G000162255	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000367945	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000445065	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000011065	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000169035	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000368025	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000445145	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000012825	-11.490672649900004	1.6360646561395027	3.6127285531488638	3.002281730494611	(-17.8199, -4.15612)	(-4.40816, 7.14968)
G000169235	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000967935	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000747725	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000368045	-7.585960116175005	-2.61150164541605	2.846875759023117	4.759606394886104	(-12.2645, -1.93304)	(-11.5279, 6.37625)
G000447205	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000012845	-11.27668515754998	2.4913187850149954	3.2898815519530484	2.7569848010308684	(-16.978, -4.08533)	(-2.45967, 8.76599)
G000169475	-8.796952119349987	1.6797006537349974	4.604730662725692	3.70853474173877	(-16.8337, 0.104464)	(-6.09267, 8.15258)
G000973625	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000754405	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000368065	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000463665	-10.768400351999995	-3.679700687945	2.1530176188270165	3.4311703373091142	(-14.738, -8.41691)	(-10.4141, 2.31776)
G000013605	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000173435	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000759775	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001025195	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000368145	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000465575	-10.189077667399996	-2.956182218715001	2.8493995760381865	3.711766270069234	(-14.2744, -3.50107)	(-10.9719, 3.00214)
G000015505	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000173455	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001025215	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000759995	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000472405	-4.353519550150002	-1.4116444899749987	2.0432329441430084	3.246297126546522	(-7.76805, -0.278095)	(-7.3555, 5.04471)
G000368625	-7.866200328049984	-2.5550079436349993	3.072850737558468	4.468264586314999	(-12.9161, -2.15715)	(-9.83019, 7.01829)
G000016345	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000173975	-11.490672649900004	1.6360646561395027	3.6127285531488638	3.002281730494611	(-17.8199, -4.15612)	(-4.40816, 7.14968)
G001028645	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
