Feature	Intercept_mean	host_sample_type[T.tumor]_mean	Intercept_std	host_sample_type[T.tumor]_std	Intercept_hdi	host_sample_type[T.tumor]_hdi
G900066525	-7.026864354979992	1.9980286563549996	4.241345441443565	3.883439555508812	(-14.7667, 1.05774)	(-5.19662, 9.27636)
G008273775	-9.544850678249999	3.808630753099998	3.296256093045511	3.050552809439532	(-15.1698, -2.95399)	(-2.22385, 9.27742)
G001425865	-9.000080227400002	-0.8645529995449983	5.426850032697035	4.7387037709948165	(-18.643, 1.18873)	(-10.0468, 7.8428)
G001584645	-9.000080227400002	-0.8645529995449983	5.426850032697035	4.7387037709948165	(-18.643, 1.18873)	(-10.0468, 7.8428)
G004100325	-9.000080227400002	-0.8645529995449983	5.426850032697035	4.7387037709948165	(-18.643, 1.18873)	(-10.0468, 7.8428)
G002206575	-9.000080227400002	-0.8645529995449983	5.426850032697035	4.7387037709948165	(-18.643, 1.18873)	(-10.0468, 7.8428)
G001310795	-9.000080227400002	-0.8645529995449983	5.426850032697035	4.7387037709948165	(-18.643, 1.18873)	(-10.0468, 7.8428)
G000317975	-9.000080227400002	-0.8645529995449983	5.426850032697035	4.7387037709948165	(-18.643, 1.18873)	(-10.0468, 7.8428)
G001814805	-9.000080227400002	-0.8645529995449983	5.426850032697035	4.7387037709948165	(-18.643, 1.18873)	(-10.0468, 7.8428)
G000069965	-9.000080227400002	-0.8645529995449983	5.426850032697035	4.7387037709948165	(-18.643, 1.18873)	(-10.0468, 7.8428)
G000162015	-6.63617401309002	1.975099569740001	4.275739679456371	3.9584087381588424	(-14.3765, 1.18949)	(-5.24001, 9.38511)
G000378885	-9.000080227400002	-0.8645529995449983	5.426850032697035	4.7387037709948165	(-18.643, 1.18873)	(-10.0468, 7.8428)
G000438035	-12.434509504999996	2.7920955905849985	2.1870524613173803	2.1790613841602653	(-16.672, -8.97782)	(-1.00735, 6.95414)
G000221145	-11.108946281349995	1.7127448413049977	3.6598632785907954	3.312622982175619	(-17.9837, -3.30401)	(-4.69168, 8.33204)
G001028645	-9.000080227400002	-0.8645529995449983	5.426850032697035	4.7387037709948165	(-18.643, 1.18873)	(-10.0468, 7.8428)
G000744465	-9.000080227400002	-0.8645529995449983	5.426850032697035	4.7387037709948165	(-18.643, 1.18873)	(-10.0468, 7.8428)
