Feature	Intercept_mean	host_sample_type[T.tumor]_mean	Intercept_std	host_sample_type[T.tumor]_std	Intercept_hdi	host_sample_type[T.tumor]_hdi
G000006865	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G008273775	-6.619700468424995	2.0389134189454983	2.4286678295028086	2.780638556055975	(-10.7359, -1.98029)	(-3.38856, 7.10901)
G000006925	-6.848667037299991	1.7320902756700014	2.425560925831423	2.6879530395793485	(-10.7434, -1.87385)	(-3.63688, 6.59072)
G002206575	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G008807395	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001425865	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000007525	-10.457192017000002	2.6940248860700007	3.2126512911709764	2.9616187901872664	(-15.7805, -3.53808)	(-3.26717, 7.81248)
G900066525	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G002255905	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001584645	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000162015	-7.431397279650007	1.425590453549998	4.158335154084298	3.920097044458544	(-15.2034, 0.181602)	(-5.30241, 9.54646)
G001310795	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000934225	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000317975	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000221145	-6.537047158945008	2.1301527821499984	4.236339238029306	4.105554099869837	(-13.9072, 1.73419)	(-5.67582, 9.84158)
G009693325	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001427705	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000378885	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000007645	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000016565	-10.488342787799992	2.6583619410999986	3.1412210717482165	2.812624663860534	(-15.7985, -3.75116)	(-3.1966, 7.62526)
G900066545	-6.631438390810002	1.6542129035887014	4.322962965568749	4.039809868703066	(-14.049, 1.57141)	(-6.1052, 8.73053)
G001814805	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000494725	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G002256425	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001586215	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000169035	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001028645	-9.82926939646003	2.547329332979999	3.5697663200337995	3.252078828324958	(-16.1167, -2.83083)	(-3.69589, 8.95214)
G004100325	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001312505	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000935165	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000332875	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000240075	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000744465	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G009694875	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001428645	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000438035	-8.199837192099993	2.3752393902699978	2.8013938331938815	2.7572719522420743	(-12.5345, -2.67413)	(-3.02691, 7.40578)
G000378905	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000069965	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000008345	-9.281593819499989	5.000392331675012	3.013391071680101	2.987193858790968	(-14.9406, -3.33682)	(-0.466054, 11.0591)
G000016645	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G900111115	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001828765	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000508745	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G002287885	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001592855	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000169235	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001046635	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G004323595	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001314305	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000944855	-7.0885334785	2.0537762478415047	2.2253289533163985	2.327312244820704	(-10.5432, -2.55368)	(-2.29904, 6.4154)
G000335815	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000240185	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G009727125	-5.542497141535001	0.22298564185649924	2.51844812404811	2.993777590855588	(-9.82477, -0.628435)	(-4.95352, 6.32665)
G000744835	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001432305	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000438275	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000378925	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000072485	-6.558138045599991	-0.5907009739949998	2.2440989599420855	2.8806779623630736	(-10.3484, -2.29634)	(-6.32488, 4.58367)
G000008865	-6.898395201399992	2.3731124012969995	2.3168532873982253	2.7953983846306296	(-11.1062, -2.59077)	(-2.96289, 7.46625)
G000018665	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G900112935	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000568555	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001830325	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G002288385	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001603225	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000173975	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001054195	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G004351935	-9.903426942299994	2.861943582694998	3.5407407810909652	3.263151180028419	(-16.1143, -2.7286)	(-3.44016, 8.835)
G001314975	-11.551787601249968	2.4604112478249975	2.5114844379453376	2.3598800207313078	(-15.8814, -6.36055)	(-1.61305, 7.09603)
G000953015	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000241465	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000344615	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G009768975	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000745265	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001438925	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000438965	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000381125	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000091545	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000009865	-9.82926939646003	2.547329332979999	3.5697663200337995	3.252078828324958	(-16.1167, -2.83083)	(-3.69589, 8.95214)
G000019745	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G900113085	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000611675	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001866515	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G002336855	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001639025	-7.127572035730024	1.5161810817969985	4.069085702885209	3.752950755886313	(-14.4154, 0.82301)	(-5.07555, 9.13112)
G000175235	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001068545	-9.285285011405007	1.6179480415050038	4.410283549530979	3.4633853981420457	(-16.226, -0.135539)	(-5.05099, 8.27219)
G004352045	-7.939461084600014	1.236209397049999	4.252406732028201	3.646854718301914	(-15.0465, 0.188096)	(-5.29564, 8.7846)
G001314995	-8.887539402100005	2.463338844809501	3.6557257256627813	3.395068983416452	(-14.9629, -1.45591)	(-4.33444, 8.46942)
G000954135	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000245655	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000367205	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000745545	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G009859475	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001447195	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000438985	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000381265	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000091765	-4.428693045849998	-1.9582292069914977	2.762612896619934	5.034969195331989	(-9.32939, 0.397937)	(-11.8263, 6.91292)
G000010125	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000019785	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G900113395	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000615525	-5.5616089281499965	0.018062641250000015	2.374250631487173	2.957287985496379	(-9.6019, -0.858332)	(-5.46246, 5.87548)
G001878775	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G002337155	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001643095	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000176855	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001075215	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G004352335	-11.551787601249968	2.4604112478249975	2.5114844379453376	2.3598800207313078	(-15.8814, -6.36055)	(-1.61305, 7.09603)
G001318345	-7.851563584809988	3.414002719965	3.8401095974251676	3.7564931741268683	(-14.6473, -0.254575)	(-3.82276, 10.0266)
G000956505	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000245775	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000367925	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G009867145	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000745855	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001450355	-8.89263440735002	2.5517825996700023	3.7577868951732185	3.4510124676802163	(-14.6618, -1.03557)	(-4.69291, 8.91055)
G000443975	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000383815	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000144735	-8.864236210249995	4.671012514799992	3.281077330831433	3.2562365089720333	(-14.6859, -2.06197)	(-1.60206, 10.706)
G000010185	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000019945	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G900113645	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000620225	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001881495	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G002354895	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G001647675	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000183345	-7.027443098100005	2.2968426507546034	2.25998457278318	2.6453073634615523	(-10.9829, -2.51107)	(-2.68046, 7.41559)
G001188545	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G004352345	-9.903426942299994	2.861943582694998	3.5407407810909652	3.263151180028419	(-16.1143, -2.7286)	(-3.44016, 8.835)
G001398415	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000964095	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
G000253275	-9.914086978679995	-1.0311055363199997	5.194657443759887	4.604796027876976	(-18.3457, 1.16711)	(-9.68668, 7.71918)
