Feature	Intercept_mean	host_sample_type[T.tumor]_mean	Intercept_std	host_sample_type[T.tumor]_std	Intercept_hdi	host_sample_type[T.tumor]_hdi
G000005845	-8.355446462850004	2.8316361084380013	2.9261089298818725	3.042207794281389	(-13.5539, -2.75156)	(-3.5422, 8.31571)
G000006565	-1.2871606090000023	-0.1106696417397002	0.08903912269832356	0.12753400287993893	(-1.44727, -1.11031)	(-0.354073, 0.121211)
G000006765	-7.230096703349985	0.7849479841500022	2.5027991664424225	2.8887586341585276	(-11.2623, -1.96262)	(-5.61941, 5.71338)
G000162255	-5.148050631599992	-2.000552303119002	3.058333138926245	5.000756963815045	(-10.2789, 0.711587)	(-10.8399, 8.13174)
G000367945	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000006925	-8.541544382149997	2.6735459196000035	2.9399204544254465	2.7962367348758184	(-13.2403, -2.61763)	(-3.03872, 7.55618)
G000169035	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000368025	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000008865	-8.34376585050001	2.5588296400899964	2.8261117913043035	2.991293544516014	(-13.1147, -2.63052)	(-3.55984, 7.81018)
G000368045	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000169235	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000010125	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000368065	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000169475	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000010425	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000368145	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000173435	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000011065	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000368625	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000173455	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000012825	-9.222552737999987	2.0700148009785013	2.544660840296534	2.651387923625537	(-13.6559, -4.12378)	(-3.51406, 6.66491)
G000368665	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000173975	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000012845	-7.592336805350011	1.8293690876209991	4.186980260080485	4.076386729907079	(-14.848, 0.553759)	(-5.66899, 9.50216)
G000368765	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000185505	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000013605	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000368785	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000196015	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000015505	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000368805	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000196555	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000016345	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000368825	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000196575	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000019785	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000368885	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000204235	-6.036252124000003	2.39737453401	4.150296297910439	3.776257974120758	(-13.3534, 2.19737)	(-4.48888, 9.9193)
G000019945	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000747725	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000368905	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000967935	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000204415	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000445065	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000020225	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000754405	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
