Feature	Intercept_mean	tumor_type[T.HCC]_mean	Intercept_std	tumor_type[T.HCC]_std	Intercept_hdi	tumor_type[T.HCC]_hdi
G000006865	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G000378885	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G000006925	-11.250864170555015	2.1231235845900005	3.31015226167411	2.7895582991229753	(-17.4169, -5.34631)	(-2.63907, 7.79746)
G000744465	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G000494725	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G000378905	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G002206575	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G000007525	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G900066525	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G000744835	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G000508745	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G000934225	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G001584645	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G000221145	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
G000378925	-9.87572498365	-1.3883120611500017	5.046207150717673	4.925316214084062	(-18.5044, 0.259033)	(-10.474, 8.23811)
