Feature	Intercept_mean	tumor_type[T.HCC]_mean	Intercept_std	tumor_type[T.HCC]_std	Intercept_hdi	tumor_type[T.HCC]_hdi
G000005845	-7.759541345000002	-0.8108063152750005	0.409111623865347	0.5795700368052553	(-8.54456, -7.01918)	(-1.94235, 0.251898)
G000162255	-10.057330405450008	-1.6854555734795011	4.988509334472221	4.410769039819716	(-18.1402, 0.640266)	(-9.60139, 6.834)
G000006565	-4.56860015999999	1.0253896372000009	0.2986931821151505	0.38566207622095955	(-5.17198, -4.03199)	(0.307107, 1.77217)
G000169035	-7.6401174850000055	-1.3831894155579987	0.5781845160604224	0.8357901802450088	(-8.80774, -6.59178)	(-3.00182, 0.168693)
G000169235	-9.078284720000001	0.4601550515869992	1.0025631961207346	1.136447236375811	(-11.1031, -7.26509)	(-1.88558, 2.55141)
G000006765	-7.641564174999992	0.6536851559387009	0.4709895895439936	0.5323088950719569	(-8.48048, -6.75933)	(-0.359433, 1.58059)
G000169475	-9.088515809999981	0.656060116151451	0.7357228870227179	0.8267891176154196	(-10.4641, -7.7531)	(-0.882098, 2.23067)
G000006925	-8.623107944999994	-0.09795173707400004	0.617111919766931	0.7487300304089045	(-9.77405, -7.4891)	(-1.50138, 1.30949)
G000173435	-9.177218895000006	0.27763890610600017	0.812234926799093	0.9739494081555081	(-10.7634, -7.81621)	(-1.43238, 2.28544)
G000008865	-7.49935804	-1.0756587380619966	0.3753560919391858	0.5604833026167045	(-8.23808, -6.8387)	(-2.17951, -0.0886667)
G000173455	-8.612879880000005	0.39240854423329957	0.7293502525968485	0.925318158834547	(-10.0012, -7.28674)	(-1.29807, 2.15378)
G000010125	-8.882976584999987	0.3189939009825	0.8432352255155667	0.9742898353296314	(-10.5188, -7.30407)	(-1.4514, 2.26236)
G000173975	-7.619384444999998	-0.4566514735499998	0.4281114186763674	0.5586296313800911	(-8.44466, -6.83538)	(-1.41739, 0.655243)
G000010425	-7.179580030000004	-0.4739611855870004	0.29389746406612477	0.38474512915124476	(-7.71805, -6.64523)	(-1.1405, 0.290329)
G000185505	-9.885004600000016	1.2834507001600017	1.076924107451003	1.1471465019667584	(-12.097, -8.11414)	(-0.932541, 3.37942)
G000011065	-8.374736809999986	-0.05103708283500002	0.5188637801954614	0.6292764912761574	(-9.38481, -7.4699)	(-1.21149, 1.10717)
G000196015	-7.045660512150002	-2.271317809189997	2.0241901049712414	3.167138081153844	(-10.4515, -3.19512)	(-7.83215, 3.93756)
G000012825	-6.037539270000003	-0.4921218693880006	0.2166038655217562	0.2937299951445918	(-6.4881, -5.6755)	(-1.04179, 0.0493018)
G000196555	-8.113283244999996	-0.6350669466199999	0.48215088988968996	0.6672713720717885	(-9.08651, -7.29434)	(-1.82151, 0.666837)
G000012845	-8.11665165	-1.0256658500999989	0.4966498767628738	0.7203080482215388	(-9.08298, -7.24121)	(-2.44407, 0.242487)
G000196575	-7.935169200000001	0.0984034367180002	0.45000337293987036	0.5377036260003665	(-8.75387, -7.08878)	(-0.967682, 1.07671)
G000013605	-11.059545877849994	2.3791849349349974	2.782722331703686	2.6013821446989502	(-16.6062, -5.87999)	(-2.28216, 7.78515)
G000204235	-6.849636524999989	0.6925235261250005	0.311002599748096	0.3546684026909091	(-7.43453, -6.28225)	(0.01408, 1.3347)
G000015505	-6.858481299999985	-1.0072432849099981	0.2921793972132706	0.43223716882245267	(-7.38067, -6.31659)	(-1.76879, -0.149251)
G000204415	-7.117188795	0.6998964523525001	0.4566560451111953	0.5641146362403777	(-7.95569, -6.23604)	(-0.383497, 1.77943)
G000016345	-8.622727334999995	-0.5820882965339998	0.5967966468863981	0.801838102607629	(-9.65512, -7.47702)	(-2.18459, 0.802308)
G000204645	-7.138997044999996	-1.4393878643349964	0.7932350977958044	1.1102524840382204	(-8.63421, -5.64899)	(-3.66107, 0.517053)
G000019785	-7.06753441499999	-0.12159946783000014	0.5541718769251628	0.724624790357595	(-8.07444, -6.03084)	(-1.4711, 1.24667)
G000210075	-7.928484379999991	-0.24943275249500035	0.7392116283369848	0.9472934740459894	(-9.33305, -6.65221)	(-2.05739, 1.48434)
G000019945	-5.0387588885999905	-1.4164365730875006	1.3351233815083223	1.8666285185107823	(-7.40962, -2.57103)	(-4.57978, 2.63221)
G000210695	-7.304390789999995	-1.0948829761030001	0.3423322102151299	0.49033949742572785	(-7.94926, -6.70695)	(-2.03411, -0.155663)
G000020225	-8.070614247949983	0.8093268675850003	2.332756936766226	2.697544954978016	(-12.22, -3.68122)	(-4.45449, 5.40327)
G000219605	-9.192437134750003	1.2588755048009994	2.042816234867774	2.149251752307342	(-12.925, -4.88875)	(-2.88015, 5.50155)
G000020425	-9.958701409999994	0.42294646930000024	1.180316504320053	1.3351184619563234	(-12.2995, -8.08998)	(-1.91229, 3.03021)
G000221985	-8.139953012255003	-1.31746786083	2.071497938227623	2.639955113147939	(-11.4501, -4.11847)	(-6.35178, 3.75393)
G000022305	-9.746246472500001	2.0480792111300024	3.3997137186621043	3.0931597318938233	(-15.8504, -2.91139)	(-4.17215, 7.50982)
G000227295	-8.056759739999997	0.14068944349400042	0.5305465377532229	0.6251207347796616	(-9.15785, -7.11635)	(-1.13686, 1.26242)
G000022905	-9.652791910000012	-0.1898965853040003	1.3255585267336762	1.5292197005620485	(-12.6191, -7.51641)	(-3.11824, 2.79789)
G000231215	-3.5060821149999963	0.6623863108244986	0.209398541940427	0.2749245532533497	(-3.90257, -3.10796)	(0.136075, 1.15156)
G000023205	-7.225575429999998	0.19169488661700013	0.8324626271838369	1.057833976481127	(-8.77475, -5.64717)	(-1.86043, 2.20926)
G000241465	-7.275261635000012	-0.7895623535599979	0.6087402342893701	0.8166618491406658	(-8.36119, -6.10485)	(-2.28813, 0.796475)
G000024105	-11.730492393500008	2.14183138723	2.4869699244501695	2.425737527003582	(-16.9032, -7.37337)	(-2.12596, 6.5802)
G000367945	-9.553605329700012	-0.8574157358350012	1.6948309104321482	2.1225575526459646	(-12.6228, -6.58011)	(-4.82193, 2.55593)
G000445065	-11.998328184999997	1.996819613605997	2.1812469368744707	2.2631825188901433	(-15.9457, -8.42873)	(-1.7875, 6.20575)
G000245775	-8.146491879999997	0.036446693552000045	0.5475661759723348	0.7048601310514877	(-9.12193, -7.09572)	(-1.21227, 1.41453)
G000026225	-11.672160977500004	0.850328194494001	2.935452889176927	2.7111168963824412	(-18.0421, -6.74609)	(-3.83532, 6.51673)
G000368025	-6.802286730000007	-1.0948252409050023	0.27181729895024526	0.41724051259186706	(-7.33865, -6.33649)	(-1.8375, -0.264532)
G000445145	-11.370302725499995	1.2716629573599993	3.3031534702987067	2.9448676819828816	(-17.5947, -4.89888)	(-4.14646, 6.88411)
G000248155	-6.933339684999986	-0.9181187275400013	0.38984025819180185	0.5381064327744857	(-7.65631, -6.20472)	(-1.86164, 0.0967425)
G000069965	-6.894910174999998	-1.6360095195499982	0.4178094017289695	0.5706016285484328	(-7.66185, -6.13968)	(-2.78769, -0.675988)
G000447205	-7.474549305950014	-1.519226103139999	2.296516729884319	2.959952529181264	(-11.1658, -2.56138)	(-6.60618, 4.62847)
G000368045	-5.920664610000005	-0.6221540350149999	0.1669469823106959	0.22273641941015535	(-6.22246, -5.59669)	(-1.0242, -0.201323)
G000252835	-8.241176015	0.18964191236450018	1.1779002768993503	1.4241489979264819	(-10.4487, -6.00471)	(-2.6362, 2.72191)
G000091545	-8.503690215999999	0.863855384409	1.520296558088525	1.7645565396769916	(-11.2397, -5.59633)	(-2.30748, 4.26516)
G000368065	-8.675231824999997	-2.11301402187	0.6692213082518511	1.3263032778079826	(-9.92928, -7.46398)	(-4.4538, 0.538321)
G000463665	-6.809592134999996	0.5543394575694994	0.4109409372021624	0.49885648611264927	(-7.53564, -6.02773)	(-0.433406, 1.44653)
G000253275	-11.514578530000012	3.2271456105949974	2.2299939382097063	2.2872037148060724	(-15.611, -7.51513)	(-0.544435, 7.74215)
G000148585	-9.754640889999997	-1.0820618038879994	1.2575692468184834	1.7052241980135843	(-12.1709, -7.66285)	(-4.03397, 2.19613)
G000368145	-7.7712733850000095	0.11251063852699997	0.4074519555697235	0.4941860186070161	(-8.54338, -7.03529)	(-0.79246, 1.06138)
G000465575	-9.145824759999993	-0.04299583324450008	0.7930830585020359	0.942526126661628	(-10.6218, -7.70334)	(-1.73894, 1.77654)
G000262525	-8.546460883050003	-3.732823286455002	2.2456550563680073	3.7840624579017614	(-11.9668, -3.70402)	(-11.1407, 3.68022)
G000153905	-8.02589554	-0.278539125928	0.6934802463592656	0.8171600756868411	(-9.28154, -6.63449)	(-2.01978, 1.05395)
G000472405	-3.8364486749999966	0.5872411570999997	0.19977479882481256	0.2607558712433791	(-4.18437, -3.43301)	(0.103146, 1.09387)
G000368625	-7.311791809999991	-1.0516816652099994	0.7855804606497178	1.0833397323124243	(-8.67419, -5.68613)	(-2.90174, 1.27655)
G000747725	-9.815466639999977	1.0701111812099997	1.0556748541623087	1.1459072843154168	(-11.7412, -7.97786)	(-1.02632, 3.24544)
G001535545	-8.265364675	0.46488577618539983	1.112512221974209	1.447605782830209	(-10.0991, -5.95506)	(-2.10431, 3.38934)
G000967935	-7.256457364999974	-0.6580201301095002	0.4072008038873535	0.5522595425769793	(-8.03766, -6.47139)	(-1.67259, 0.435411)
