Feature	Intercept_mean	tumor_type[T.HCC]_mean	Intercept_std	tumor_type[T.HCC]_std	Intercept_hdi	tumor_type[T.HCC]_hdi
G000005845	-6.008791959000005	0.2992021013924002	1.8068654110860767	2.281068847065856	(-8.97811, -2.5141)	(-3.77959, 4.90606)
G000006565	-1.3621293485000048	-0.034705661600499975	0.1211082853004576	0.1554227385394515	(-1.58582, -1.14183)	(-0.300605, 0.292021)
G000006765	-5.235078950000001	-2.357753530380001	1.0377912317493798	1.4507063940615061	(-7.15415, -3.26795)	(-5.21142, 0.231901)
G000162255	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000006925	-6.120203590100003	0.04745387274999999	1.6391366980301458	1.999937856309559	(-8.70113, -2.81985)	(-3.74285, 3.78282)
G000169035	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000008865	-6.29356704529999	0.524480615885	2.0337828299089975	2.4053625058016994	(-9.51377, -2.18332)	(-4.43684, 4.81922)
G000169235	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000010125	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000445065	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000367945	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000747725	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001535545	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000967935	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000169475	-8.254765105000013	-3.0695690474749986	3.2362230150438953	4.231686597739638	(-13.7865, -1.94026)	(-11.4102, 4.52856)
G000010425	-8.135886839700003	-3.2137650518199945	2.679234290493396	4.232520048075154	(-12.392, -2.79455)	(-11.3323, 4.54846)
G000445145	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000368025	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000754405	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000973625	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001543285	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000173435	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000011065	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000447205	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000368045	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000759775	-7.697356506049998	1.2406514415150014	4.029706307842918	3.838139318190958	(-14.9182, -0.0597614)	(-5.85447, 8.87326)
G001025195	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001552595	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000173455	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000012825	-8.447266981049996	1.5221735500449989	2.81687280483987	2.8482460710177353	(-13.247, -3.56882)	(-4.2638, 6.70383)
G000463665	-11.808756810499997	1.5116156190269976	3.219113804033168	2.889782900914809	(-17.2656, -4.56341)	(-3.83645, 6.93928)
G000368065	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000759995	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001025215	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001553955	-10.597631802060008	1.3142968465299993	3.685300359724378	3.1419873543352086	(-16.6571, -3.10388)	(-4.36569, 7.82071)
G000173975	-10.398094300899979	-3.6583506953330027	1.9154794036858906	3.367719327931772	(-14.1063, -7.10469)	(-10.3316, 2.04341)
G000012845	-7.02318511842001	0.15500306418149987	2.474773511140118	2.7790462261058635	(-10.8966, -2.2959)	(-4.97723, 5.31357)
G000465575	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000368145	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000770925	-10.398094300899979	-3.6583506953330027	1.9154794036858906	3.367719327931772	(-14.1063, -7.10469)	(-10.3316, 2.04341)
G001028645	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001586155	-6.943977264149993	2.835075176369998	2.960599150738909	3.0587018553446437	(-11.7264, -1.07921)	(-3.4863, 8.17924)
G000185505	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000013605	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000472405	-6.42642109215001	1.9331084456759982	2.509299343314006	2.8268568871361226	(-10.264, -1.58034)	(-3.28092, 7.33527)
G000368625	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001586235	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001041315	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000771025	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000196015	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000015505	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000484655	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000368665	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001591205	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001041615	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000771105	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000196555	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000016345	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000488175	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000368765	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001041635	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001591345	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000771285	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000196575	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000019785	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000488255	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000368785	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001042615	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001591365	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000771305	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000204235	-6.413647509174999	2.171954311284999	3.568478022626828	3.6511783882620485	(-12.657, 0.383028)	(-4.44937, 8.99993)
G000019945	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000498435	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000368805	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001042925	-5.116048159649997	-2.248438553397002	1.2411139596529777	1.7992648390735693	(-7.25081, -2.78635)	(-5.97006, 0.977887)
G001592165	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000771445	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000204415	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000020225	-9.0389921745	-3.5164661317000037	2.564578378101273	3.795367581809915	(-12.8862, -3.28629)	(-11.4095, 3.1966)
G000507785	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000368825	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001045685	-5.116048159649997	-2.248438553397002	1.2411139596529777	1.7992648390735693	(-7.25081, -2.78635)	(-5.97006, 0.977887)
G001592265	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000771545	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000204645	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000020425	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000518645	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000368885	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001046635	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000771705	-8.571119160750014	-3.5049926002950014	2.7800792617873156	4.030085181967475	(-12.6233, -2.66679)	(-10.724, 4.77932)
G001595965	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000210075	-10.446677418499982	-3.7220103372044995	2.23093240388855	3.5307158921743658	(-14.6244, -5.98116)	(-11.3897, 1.81859)
G000022305	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000597745	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000368905	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001046645	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001595985	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000785515	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000210695	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000022905	-7.203423559599998	1.6348375715099996	4.137421729607769	3.7861726113537992	(-14.8619, 0.158642)	(-5.15772, 9.07678)
G001955735	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000613825	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000368925	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001046655	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001598595	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000807695	-11.870800147000015	2.397240973787003	2.7591993952761666	2.5790694393109868	(-17.3981, -6.3411)	(-2.38, 7.48104)
G000219605	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000023205	-12.428542396000005	2.567972062208499	2.2624169871143636	2.189999394055415	(-17.3074, -8.95338)	(-1.33329, 6.93332)
G000369005	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000614125	-9.319613679999991	-4.450215403830003	1.6016746316774082	3.3750945426547925	(-12.0235, -5.69299)	(-10.8992, 1.27436)
G001982605	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
