Feature	Intercept_mean	tumor_type[T.HCC]_mean	Intercept_std	tumor_type[T.HCC]_std	Intercept_hdi	tumor_type[T.HCC]_hdi
G000494725	-9.782971194359991	-1.3072957406499968	5.083545871324637	4.574756687345648	(-17.7358, 0.754961)	(-10.4049, 7.64791)
G000934225	-9.782971194359991	-1.3072957406499968	5.083545871324637	4.574756687345648	(-17.7358, 0.754961)	(-10.4049, 7.64791)
G000508745	-9.782971194359991	-1.3072957406499968	5.083545871324637	4.574756687345648	(-17.7358, 0.754961)	(-10.4049, 7.64791)
G001028645	-9.03163058775	2.0317178221199974	3.83833455375511	3.270255413384516	(-15.5302, -1.44475)	(-4.46396, 7.90681)
G000935165	-9.782971194359991	-1.3072957406499968	5.083545871324637	4.574756687345648	(-17.7358, 0.754961)	(-10.4049, 7.64791)
G000568555	-9.782971194359991	-1.3072957406499968	5.083545871324637	4.574756687345648	(-17.7358, 0.754961)	(-10.4049, 7.64791)
G001046635	-9.782971194359991	-1.3072957406499968	5.083545871324637	4.574756687345648	(-17.7358, 0.754961)	(-10.4049, 7.64791)
G000744465	-9.782971194359991	-1.3072957406499968	5.083545871324637	4.574756687345648	(-17.7358, 0.754961)	(-10.4049, 7.64791)
G000944855	-5.5585877599	0.53269261648	1.7759407848284678	2.1289059752081814	(-8.58122, -2.23752)	(-3.10563, 5.21101)
G000611675	-9.782971194359991	-1.3072957406499968	5.083545871324637	4.574756687345648	(-17.7358, 0.754961)	(-10.4049, 7.64791)
G000006865	-9.782971194359991	-1.3072957406499968	5.083545871324637	4.574756687345648	(-17.7358, 0.754961)	(-10.4049, 7.64791)
G000016565	-9.772166228499994	2.1628855496278985	3.2412466359415855	2.9220507567303	(-15.3276, -3.07227)	(-3.80951, 7.39543)
G000317975	-9.782971194359991	-1.3072957406499968	5.083545871324637	4.574756687345648	(-17.7358, 0.754961)	(-10.4049, 7.64791)
G000438035	-7.806657536400023	1.642426724270001	2.3862487196236684	2.5136255234247127	(-11.7147, -3.38325)	(-3.33357, 6.04616)
G000162015	-5.492237339519988	-0.38957215529999933	2.6654944283774693	3.541980362862283	(-10.091, -0.228503)	(-6.9292, 6.44726)
G000069965	-9.782971194359991	-1.3072957406499968	5.083545871324637	4.574756687345648	(-17.7358, 0.754961)	(-10.4049, 7.64791)
G000378885	-9.782971194359991	-1.3072957406499968	5.083545871324637	4.574756687345648	(-17.7358, 0.754961)	(-10.4049, 7.64791)
G000221145	-6.588884329904992	1.4794632134211765	3.537549078310597	3.3844839408513803	(-12.5826, -0.0338787)	(-5.25291, 7.35252)
G008273775	-5.177317694600002	0.577104074895	1.9980327669653224	2.456076837942802	(-8.40138, -1.13349)	(-4.00719, 5.48477)
G900066525	-6.473081436644991	-2.814865290356	2.804348467536065	4.702705460647397	(-10.9848, -0.83217)	(-11.7403, 6.08569)
