	15336.CRC.5.Plasma	15336.CRC.1.Plasma	15336.HCC.5.Plasma	15336.HCC.6.Plasma	15336.CRC.3.Plasma	15336.CRC.2.Plasma	15336.HCC.2.Plasma	15336.HCC.12.Plasma	15336.HCC.4.Plasma	15336.HCC.7.Plasma	15336.HCC.8.Plasma	15336.CRC.6.Plasma	15336.HCC.3.Plasma	15336.HCC.11.Plasma	15336.CRC.8.Plasma	15336.CRC.7.Plasma	15336.CRC.11.Plasma	15336.CRC.10.Plasma	15336.HCC.15.Plasma	15336.HCC.9.Plasma	15336.HCC.10.Plasma	15336.HCC.13.Plasma	15336.CRC.4.Plasma	15336.CRC.9.Plasma	15336.HCC.1.Plasma
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	0.0	8.0	0.0	12.0	6.0	9.0	6.0	0.0	5.0	3.0	5.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0
d__Eukaryota;p__Apicomplexa;c__Conoidasida;o__Eucoccidiorida;f__Sarcocystidae;g__Toxoplasma;s__Toxoplasma gondii	4.0	19.0	92.0	22.0	14.0	12.0	37.0	9.0	5.0	77.0	103.0	24.0	13.0	13.0	11.0	11.0	3.0	11.0	27.0	96.0	4.0	40.0	6.0	17.0	318.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	7.0	7.0	14.0	49.0	0.0	15.0	0.0	0.0	1.0	0.0	42.0	0.0	7.0	21.0	0.0	7.0	7.0	0.0	14.0	7.0	21.0	30.0	0.0	0.0	7.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri	0.0	1.0	0.0	3.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	7.0	16.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	7.0	0.0	7.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	0.0	13.0	13.0	19.0	4.0	15.0	11.0	5.0	14.0	12.0	3.0	10.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	8.0	3.0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	0.0	6.0	6.0	12.0	0.0	6.0	0.0	0.0	12.0	0.0	0.0	12.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	6.0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	6.0	18.0	13.0	15.0	9.0	12.0	7.0	0.0	28.0	12.0	19.0	31.0	19.0	0.0	0.0	12.0	3.0	3.0	3.0	11.0	11.0	0.0	3.0	10.0	3.0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	0.0	1.0	1.0	8.0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	4.0	0.0	0.0	7.0	0.0
d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhodoferax;s__Rhodoferax ferrireducens	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas;s__Polaromonas naphthalenivorans	0.0	3.0	5.0	3.0	2.0	0.0	1.0	0.0	3.0	1.0	0.0	3.0	0.0	0.0	0.0	4.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
