	15336.HCC.4.Plasma	15336.HCC.12.Plasma	15336.HCC.7.Plasma	15336.CRC.11.Plasma	15336.CRC.2.Plasma	15336.HCC.13.Plasma	15336.CRC.10.Plasma	15336.CRC.1.Plasma	15336.CRC.6.Plasma	15336.HCC.1.Plasma	15336.CRC.4.Plasma	15336.HCC.11.Plasma	15336.CRC.7.Plasma	15336.HCC.6.Plasma	15336.HCC.15.Plasma	15336.HCC.10.Plasma	15336.CRC.5.Plasma	15336.CRC.3.Plasma	15336.HCC.9.Plasma	15336.HCC.8.Plasma	15336.CRC.8.Plasma	15336.HCC.2.Plasma	15336.HCC.5.Plasma	15336.CRC.9.Plasma	15336.HCC.3.Plasma
G000006865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
G000006925	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
G000007525	4.0	0.0	8.0	0.0	14.0	0.0	4.0	22.0	8.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	6.0	2.0	5.0	6.0	2.0	6.0	10.0	6.0	2.0
G000007645	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
G000008345	108.0	54.0	154.0	55.0	61.0	177.0	52.0	52.0	20.0	56.0	19.0	177.0	43.0	455.0	85.0	246.0	25.0	65.0	161.0	447.0	16.0	35.0	111.0	25.0	75.0
G000008865	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0
G000009865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
G000010125	0.0	0.0	9.0	14.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	12.0	6.0	8.0	2.0	0.0	2.0	16.0	0.0	2.0	2.0	0.0	2.0
G000010185	7.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
G000010425	12.0	4.0	10.0	2.0	16.0	0.0	0.0	14.0	13.0	4.0	2.0	2.0	1.0	25.0	2.0	9.0	0.0	4.0	2.0	6.0	2.0	9.0	18.0	12.0	0.0
G000011065	3.0	1.0	2.0	0.0	2.0	0.0	3.0	3.0	5.0	2.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	3.0	0.0	3.0
G000012005	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0
G000012825	22.0	1.0	8.0	3.0	10.0	1.0	3.0	16.0	24.0	2.0	2.0	1.0	8.0	9.0	2.0	9.0	5.0	5.0	7.0	12.0	0.0	5.0	10.0	7.0	9.0
G000012845	2.0	0.0	0.0	0.0	4.0	0.0	1.0	1.0	4.0	0.0	0.0	0.0	2.0	6.0	0.0	3.0	0.0	9.0	3.0	0.0	0.0	0.0	1.0	5.0	0.0
G000013325	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
G000013605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
G000013625	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G000015505	3.0	0.0	1.0	2.0	0.0	1.0	1.0	3.0	4.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	5.0	2.0	0.0
G000016345	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	3.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
G000016565	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0
G000016645	2.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
G000018665	9.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	1.0	0.0	4.0	0.0	4.0	5.0	0.0	0.0
G000019745	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G000019785	5.0	0.0	0.0	0.0	5.0	0.0	4.0	3.0	4.0	3.0	0.0	7.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0
G000019945	0.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	17.0	0.0	3.0	0.0	0.0
G000020225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
G000020605	12.0	0.0	4.0	0.0	2.0	0.0	0.0	2.0	4.0	0.0	2.0	2.0	4.0	21.0	2.0	2.0	0.0	2.0	0.0	14.0	0.0	6.0	2.0	3.0	5.0
