	15336.HCC.4.Plasma	15336.HCC.12.Plasma	15336.HCC.7.Plasma	15336.CRC.11.Plasma	15336.CRC.2.Plasma	15336.HCC.13.Plasma	15336.CRC.10.Plasma	15336.CRC.1.Plasma	15336.CRC.6.Plasma	15336.HCC.1.Plasma	15336.CRC.4.Plasma	15336.HCC.11.Plasma	15336.CRC.7.Plasma	15336.HCC.6.Plasma	15336.HCC.15.Plasma	15336.HCC.10.Plasma	15336.CRC.5.Plasma	15336.CRC.3.Plasma	15336.HCC.9.Plasma	15336.HCC.8.Plasma	15336.CRC.8.Plasma	15336.HCC.2.Plasma	15336.HCC.5.Plasma	15336.CRC.9.Plasma	15336.HCC.3.Plasma
G000008345	108.0	54.0	154.0	55.0	61.0	177.0	52.0	52.0	20.0	56.0	19.0	177.0	43.0	455.0	85.0	246.0	25.0	65.0	161.0	447.0	16.0	35.0	111.0	25.0	75.0
G000144735	100.0	50.0	137.0	52.0	52.0	167.0	48.0	46.0	22.0	54.0	16.0	144.0	46.0	406.0	81.0	212.0	25.0	58.0	143.0	414.0	19.0	30.0	106.0	25.0	67.0
G000145515	100.0	50.0	137.0	52.0	51.0	165.0	48.0	47.0	22.0	55.0	16.0	144.0	46.0	406.0	81.0	209.0	25.0	57.0	143.0	416.0	20.0	31.0	106.0	25.0	67.0
G000145555	100.0	50.0	136.0	52.0	52.0	167.0	48.0	46.0	22.0	54.0	16.0	142.0	46.0	416.0	81.0	214.0	25.0	58.0	143.0	414.0	19.0	29.0	106.0	24.0	68.0
G000183345	1.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
G000204235	4.0	2.0	10.0	3.0	6.0	12.0	5.0	2.0	0.0	8.0	3.0	21.0	2.0	32.0	8.0	26.0	1.0	8.0	10.0	19.0	1.0	0.0	10.0	3.0	11.0
G000219275	10.0	0.0	5.0	0.0	4.0	0.0	4.0	3.0	11.0	1.0	0.0	0.0	5.0	10.0	2.0	6.0	2.0	3.0	2.0	2.0	2.0	4.0	6.0	8.0	3.0
G000221145	7.0	8.0	15.0	2.0	10.0	17.0	6.0	1.0	3.0	7.0	2.0	7.0	4.0	54.0	6.0	10.0	1.0	4.0	10.0	22.0	7.0	4.0	13.0	4.0	20.0
G000294575	15.0	0.0	7.0	0.0	6.0	4.0	3.0	8.0	12.0	0.0	1.0	9.0	1.0	22.0	0.0	8.0	4.0	6.0	3.0	3.0	6.0	8.0	5.0	14.0	8.0
G000296405	1.0	0.0	0.0	1.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	20.0	0.0	2.0	0.0	0.0	4.0	6.0	2.0	2.0	0.0	4.0	0.0
G000299455	3.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0
G000367925	17.0	8.0	4.0	1.0	9.0	10.0	4.0	37.0	58.0	6.0	3.0	4.0	7.0	21.0	10.0	17.0	6.0	7.0	6.0	10.0	0.0	8.0	18.0	18.0	5.0
G000369105	47.0	0.0	20.0	2.0	30.0	13.0	5.0	58.0	82.0	11.0	1.0	18.0	16.0	88.0	15.0	12.0	2.0	30.0	25.0	25.0	10.0	19.0	36.0	22.0	11.0
G000378905	16.0	0.0	7.0	0.0	2.0	4.0	3.0	4.0	8.0	0.0	0.0	5.0	1.0	6.0	0.0	6.0	2.0	5.0	1.0	3.0	1.0	4.0	3.0	1.0	6.0
G001283625	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0
G001484935	10.0	1.0	5.0	2.0	7.0	1.0	6.0	10.0	14.0	5.0	0.0	0.0	5.0	37.0	2.0	5.0	2.0	5.0	7.0	6.0	1.0	4.0	10.0	14.0	3.0
G007998125	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0
G009867145	56.0	0.0	27.0	1.0	36.0	4.0	9.0	43.0	126.0	15.0	2.0	3.0	14.0	79.0	7.0	41.0	4.0	14.0	15.0	20.0	11.0	9.0	19.0	44.0	9.0
G900111115	238.0	8.0	61.0	23.0	64.0	20.0	30.0	232.0	149.0	39.0	15.0	34.0	47.0	438.0	13.0	71.0	38.0	74.0	31.0	54.0	40.0	70.0	103.0	97.0	38.0
G900116265	19.0	7.0	19.0	1.0	18.0	10.0	12.0	42.0	75.0	5.0	3.0	2.0	10.0	32.0	8.0	15.0	4.0	11.0	9.0	7.0	1.0	12.0	24.0	23.0	1.0
