genome_id	covered	length	percent_covered
G000001985	246	28652885	0.000858552288888187
G000002415	115	27068631	0.00042484601456202204
G000002435	1595	12078866	0.013204881981470778
G000002445	489	26075714	0.001875308189068188
G000002495	434	40980161	0.0010590490359469304
G000002515	108	10729567	0.001006564384191832
G000002525	129	20551017	0.0006277061616950635
G000002655	238	29385098	0.0008099343415495841
G000002725	871	32855789	0.002650978797069825
G000002765	748	23327152	0.003206563750259783
G000002825	711	177715425	0.0004000778210445154
G000002845	973	32071511	0.0030338452092263444
G000002855	384	34007051	0.0011291775931997162
G000003525	93	66609203	0.00013962034645572925
G000003855	104	75406772	0.0001379186474127284
G000003925	442	5561906	0.007946916039213894
G000004695	2815	34205773	0.008229604985100029
G000005845	46768	4641652	1.0075723039986626
G000006355	1078	24399239	0.004418170583107121
G000006405	399	86962994	0.0004588158498774778
G000006445	499	12182088	0.0040961779294321305
G000006565	282	65713380	0.0004291363494009896
G000006765	36633	6264404	0.584780291947965
G000006925	41658	4828840	0.8626916609372024
G000006945	1229	4951403	0.02482124763425639
G000007065	564	4096345	0.013768371560500887
G000007105	469	2056363	0.022807257278992084
G000007145	974	5076188	0.019187626620605854
G000007245	453	2521168	0.01796786251451708
G000007345	406	5751492	0.007059037898340118
G000007545	151	4791961	0.003151110787420849
G000007705	151	4751080	0.0031782247404800595
G000007765	104	2032827	0.005116028073220201
G000007805	904	6538300	0.013826223942003273
G000007825	290	5427103	0.005343550693620519
G000008185	133	2843201	0.00467782615439429
G000008325	151	3304561	0.0045694420529686095
G000008425	1414	4222645	0.03348612066607541
G000008465	151	2839318	0.005318178520334812
G000008645	302	1751377	0.017243574627278994
G000008865	42552	5594645	0.7605844517391184
G000009045	1283	4215606	0.030434533018503154
G000009145	361	2812094	0.012837408706821323
G000009365	151	3120143	0.00483952177832875
G000009625	572	7596337	0.0075299450248191985
G000009765	302	9119915	0.0033114343719212293
G000010005	336	2039414	0.01647532085197022
G000010065	115	2696255	0.004265175215252267
G000010125	7651	2577939	0.2967874724731656
G000010425	12073	2089645	0.5777536375795889
G000010505	470	2354886	0.01995850329909813
G000010525	149	5369772	0.0027747919278509406
G000010625	222	5842795	0.0037995514133218776
G000011065	6496	6293419	0.10321893393718104
G000011305	1047	3219545	0.032520123185108454
G000011325	522	3309401	0.015773247182798336
G000011345	151	2593857	0.0058214465947814395
G000011365	1295	9105828	0.014221661116375139
G000011465	115	1657990	0.006936109385460709
G000011565	930	2438912	0.03813175711136769
G000011645	1414	4222597	0.03348650131660682
G000012305	902	2650701	0.034028734285760635
G000012665	252	3730232	0.00675561198338334
G000012825	27926	5163189	0.5408672818291176
G000012845	5643	4811379	0.11728446252103607
G000012905	151	4603097	0.0032804001306077192
G000012945	553	8676317	0.006373672146833731
G000013325	2552	4233354	0.060283170271137256
G000013425	712	2821361	0.02523604742533834
G000013605	4838	4969804	0.09734790345856698
G000013645	4241	9731178	0.043581568439093395
G000013705	453	2971517	0.015244738630134036
G000013765	151	4545906	0.0033216700917264898
G000013885	219	5011582	0.004369877615491475
G000013905	453	3101117	0.014607639763349785
G000013985	1218	3373733	0.036102442013046084
G000014145	453	4433218	0.010218310942525273
G000014425	368	1894360	0.019426085854853354
G000014705	302	4845257	0.006232899513895754
G000014805	1261	4744448	0.02657843441428803
G000014885	163	5396476	0.003020489667701663
G000014945	382	1879471	0.020324868008072483
G000015045	906	4241159	0.021362085222459238
G000015245	160	4306142	0.003715622940441815
G000015325	4312	5352772	0.08055639208993022
G000015505	7853	5366303	0.14633910906633488
G000015565	448	5597963	0.008002911058897675
G000015725	2427	4643659	0.05226481961746114
G000015865	453	3843301	0.011786742698529206
G000016345	2881	2159490	0.13341112947964565
G000016525	869	1853160	0.04689287487318958
G000016645	1633	6096872	0.026784226403309765
G000016725	151	3963240	0.0038100140289258283
G000016745	172	5136364	0.003348672329297534
G000016765	1200	5915286	0.020286424020748952
G000016825	336	1999618	0.016803209412997882
G000016985	151	4929566	0.003063149981154528
G000017265	418	4379251	0.009545011235939663
G000017565	1052	3914745	0.026872759272953923
G000018105	266	8361779	0.0031811412380068887
G000018145	746	4417968	0.016885590841762547
G000018785	267	1496992	0.01783576665740365
G000019225	453	4576573	0.009898236081889222
G000019245	142	2898476	0.004899126299476001
